catalogue_id	characteristic	source_name_v5	entity	implementation_status	current_output_field	characteristic_group	availability_stage	role	source	data_type	unit_or_values	definition	calculation	interpretation	empty_value_meaning	evidence_or_reference	notes
C060	difficulty_concordance	difficulty_concordance	Human-model comparison	Requires model evaluation		Calculated during model evaluation	Model evaluation	Model performance	External benchmark difficulty labels and stored model-evaluation results	numeric	Concordance score transformed to a 0–100 scale by the method in column H. Larger values indicate stronger agreement between anticipated difficulty and model performance. Empty means paired difficulty and response data are unavailable.	A score showing how closely anticipated human difficulty agrees with the model's actual success or failure on the same tasks.	The calculation computes difficulty concordance using the generality metric between difficulty values and response success, then transform with x / (x + 1) * 100. The paper defines correctness and prudence variants.	Larger values mean anticipated human difficulty aligns more strongly with the model outcomes. Smaller values mean the difficulty estimate and observed model behavior agree less.	An empty value means one or more required inputs are unavailable. A value of 0 is a valid numeric result.	Zhou et al. 2024	A documented model-evaluation protocol and stored model outputs are required before implementation.
C061	doc2vec_representation	doc2vec_representation	Question	Literature-derived candidate		Calculated by project	Research candidate	Text representation	Processed question title, body, and tags across the selected corpus	vector	numeric vector. Each position stores one model feature or weight. Empty means the model representation is awaiting generation.	A fixed-length numeric representation of a question produced by a Doc2Vec language model.	The calculation trains Gensim Doc2Vec on processed_question_text with min_count = 2, tests vector sizes 20-40, retains size 36 from the cited study, and infers one vector per question.	The complete vector represents one question for similarity, clustering, or prediction with the same fitted Doc2Vec model.	An empty value means the representation or required model input is unavailable.	Raida et al. 2024	Scientific selection and a complete calculation specification are required before implementation.
C062	time_to_first_answer_hours	fastest_response_time_hours; time_to_first_answer_hours	Answer	Implemented	time_to_first_answer_hours	Calculated by project	Later human evidence	Response timing	question_creation_datetime and first_answer_creation_datetime	float	hours	The elapsed hours from question posting to the earliest available answer posting.	The question creation timestamp is subtracted from the earliest available answer timestamp, and the elapsed seconds are divided by 3,600.	Smaller values indicate a faster first response. Zero represents an answer posted within the same recorded instant.	Empty when no answer is available or a valid non-negative interval cannot be calculated.	SOQDE 2018; Raida et al. 2024	Dictionary v5 aliases were consolidated because they describe the same calculation: fastest_response_time_hours; time_to_first_answer_hours.
C063	first_answer_creation_datetime	first_answer_creation_datetime	Answer	Implemented	first_answer_creation_datetime	Calculated by project	Later human evidence	Timestamp	Available answer rows	datetime	UTC datetime	The posting time of the earliest available answer.	The value is the CreationDate associated with first_answer_id.	Comparison with the question creation time shows when the first available answer appeared.	Empty when no answer row is available.		Produced by the current builder and mapped to the current output field.
C064	has_stackexchange_answer	has_answer	Question thread	Implemented	has_stackexchange_answer	Calculated by project	Later human evidence	Response outcome	Derived from Posts.AnswerCount	boolean	TRUE or FALSE	A Boolean indicator showing whether the Stack Exchange platform-maintained answer count is greater than zero.	The value is TRUE when stackexchange_answer_count is greater than zero and FALSE when it equals zero.	TRUE means the platform-maintained count records at least one answer. A difference from has_available_answer indicates that the maintained count and the available answer rows describe different source states.	An empty value means Posts.AnswerCount is unavailable.		Dictionary v5 name mapped to the canonical field has_stackexchange_answer: has_answer.
C065	human_anticipated_task_difficulty	human_anticipated_task_difficulty	Benchmark instance	Requires manual assessment		Assessed manually	Manual assessment	Difficulty evidence	External human-study or benchmark labels	numeric	Score from 0 to 100 representing anticipated human difficulty. 0 means lowest anticipated failure probability and 100 means highest. Empty means the benchmark calibration is unavailable.	A 0–100 estimate of how difficult a benchmark task is expected to be for a person.	human_anticipated_task_difficulty is calibrated from human study S1 with a two-parameter logistic mapping to a 0-100 probability-of-human-failure scale. The value comes from the external benchmark dataset.	0 represents the lowest estimated probability of human failure and 100 the highest. For example, 70 describes a task expected to be substantially harder for people than a task scored 20.	An empty value means one or more required inputs are unavailable. A value of 0 is a valid numeric result.	Zhou et al. 2024	A documented assessment protocol and reviewer evidence are required before implementation.
C066	lda_topic_representation	lda_topic_representation	Question	Literature-derived candidate		Calculated by project	Research candidate	Text representation	Processed question title, body, and tags across the selected corpus	vector	topic vector. Each position stores one model feature or weight. Empty means the model representation is awaiting generation.	A list of probabilities describing which learned topics are present in a question.	The calculation fits Gensim LDA to processed_question_text, tests 20-40 topics, retains 23 topics from the cited study, and infers one topic-probability vector per question.	Each position is the estimated share of one learned topic. Larger values mean that topic is more prominent; the positions only make sense with the fitted model's topic list.	An empty value means the representation or required model input is unavailable.	Raida et al. 2024	Scientific selection and a complete calculation specification are required before implementation.
C067	locality_inverse_city_popularity	locality_inverse_city_popularity	Benchmark instance	Literature-derived candidate		Calculated by project	Research candidate	Difficulty evidence	External world-cities benchmark input and city-popularity data	numeric	Non-negative inverse-popularity score for a city. Larger values represent a less popular or more obscure city. Empty means city popularity data are unavailable.	A difficulty value that treats less well-known cities as harder locality questions than widely known cities.	locality_inverse_city_popularity uses the inverse of city popularity as the locality difficulty proxy fpop. The main article identifies the proxy; implementation details are in the paper's supplementary material/code. The value comes from the external benchmark dataset.	Larger values represent less popular cities and therefore greater expected locality difficulty under this proxy. Comparisons require the same city-popularity source and formula.	An empty value means one or more required inputs are unavailable. A value of 0 is a valid numeric result.	Zhou et al. 2024	Scientific selection and a complete calculation specification are required before implementation.
C068	median_answer_response_hours	median_response_time_hours	Answer	Implemented	median_answer_response_hours	Calculated by project	Later human evidence	Response timing	Question and available answer creation times	float	hours	The median posting delay across all available answers to the question.	The value is the median of all non-negative answer-posting delays.	Half of the available answers were posted by this delay and half were posted at or after it. Larger values describe generally slower answer arrival.	Empty when no valid answer delay is available.	SOQDE 2018	Dictionary v5 name mapped to the canonical field median_answer_response_hours: median_response_time_hours.
C069	metric_entropy	metric_entropy	Question	Literature-derived candidate		Calculated by project	Research candidate	Text characteristic	Visible question title and body text	float	Non-negative decimal entropy value. Larger values indicate greater diversity or unpredictability under the stated method. Empty means the required text or corpus statistics are unavailable.	A character-diversity measure for the question text.	metric_entropy = shannon_entropy(question_body_text) / character_count(question_body_text).	Larger values indicate a more varied character distribution under this normalization. Valid comparisons use the same text cleaning and formula.	An empty value means one or more required inputs are unavailable. A value of 0 is a valid numeric result.	Mondal et al. 2021	Scientific selection and a complete calculation specification are required before implementation.
C070	model_answer_comprehensiveness	model_answer_comprehensiveness	Model evaluation	Requires model evaluation		Calculated during model evaluation	Model evaluation	Model performance	Stored model-generated answer and comprehensiveness assessment evidence	category	complete / partial / incomplete. Empty means the item is awaiting a category assignment.	An evaluation of whether a model-generated answer covers every important part of the question.	The assessment assigns the comprehensive label when all parts of the question are addressed and a complete solution is provided.	Complete means all required parts are covered, partial means some are covered, and incomplete means important requested content is missing.	An empty value means the classification is unavailable.	Kabir et al. 2024	A documented model-evaluation protocol and stored model outputs are required before implementation.
C071	model_answer_conciseness	model_answer_conciseness	Model evaluation	Requires model evaluation		Calculated during model evaluation	Model evaluation	Model performance	Stored model-generated answer and conciseness assessment evidence	category	concise / acceptable / verbose. Empty means the item is awaiting a category assignment.	An evaluation of whether a model-generated answer is appropriately brief or contains unnecessary material.	The assessment codes conciseness problems as Redundant, Irrelevant, or Excess information. A verbose label is assigned when one or more conciseness problems are present; the project rubric distinguishes concise and acceptable answers in the remaining cases.	Concise means focused and economical, acceptable means sufficiently focused, and verbose means unnecessary repetition or material is present.	An empty value means the classification is unavailable.	Kabir et al. 2024	A documented model-evaluation protocol and stored model outputs are required before implementation.
C072	model_answer_consistency	model_answer_consistency	Model evaluation	Requires model evaluation		Calculated during model evaluation	Model evaluation	Model performance	Stored model-generated answer, validated reference answer, and consistency assessment evidence	category	consistent / partially consistent / inconsistent. Empty means the item is awaiting a category assignment.	An evaluation of whether a model-generated answer agrees with the validated Stack Exchange answer.	The assessment compares the model answer with the accepted Stack Exchange answer and codes factual, conceptual, terminological, coding, or solution-count inconsistencies.	Consistent means no important conflict with the reference answer; partially consistent means limited disagreement; inconsistent means a material conflict exists.	An empty value means the classification is unavailable.	Kabir et al. 2024	A documented model-evaluation protocol and stored model outputs are required before implementation.
C073	model_answer_correctness	model_answer_correctness	Model evaluation	Requires model evaluation		Calculated during model evaluation	Model evaluation	Model performance	Stored model-generated answer, validated reference answer, supporting sources, and correctness assessment evidence	category	correct / partially correct / wrong / ambiguous. Empty means the item is awaiting a category assignment.	An evaluation of whether a model-generated answer is factually and technically correct.	The assessment compares the model answer with the accepted Stack Exchange answer and supporting technical sources, then codes factual, conceptual, coding, and terminological errors.	Correct means no identified material error, partially correct means useful content with some error or omission, wrong means the answer fails technically, and ambiguous means the evidence is insufficient for a confident judgment.	An empty value means the classification is unavailable.	Kabir et al. 2024	A documented model-evaluation protocol and stored model outputs are required before implementation.
C074	model_answer_linguistic_features	model_answer_linguistic_features	Model evaluation	Requires model evaluation		Calculated during model evaluation	Model evaluation	Model performance	Stored model-generated answer and the specified linguistic-analysis model	vector / numeric	feature vector. Each position stores one model feature or weight. Empty means the model representation is awaiting generation.	Numeric measurements of the language used in a model-generated answer, such as the frequency of different word categories.	The calculation computes LIWC word-frequency features for generated answers; for pairwise ChatGPT-vs-SO comparison, RD = (ChatGPT average frequency - SO average frequency) / SO average frequency. Uses generated model answer text outside SEDE.	Each number represents the named linguistic feature that produced it. Comparisons are meaningful only when the same feature set and preprocessing were used.	An empty value means the representation or required model input is unavailable.	Kabir et al. 2024	A documented model-evaluation protocol and stored model outputs are required before implementation.
C075	model_answer_sentiment	model_answer_sentiment	Model evaluation	Requires model evaluation		Calculated during model evaluation	Model evaluation	Model performance	Stored model-generated answer and the specified sentiment-analysis model	category / numeric	positive / neutral / negative or score. Empty means the item is awaiting a category assignment.	The positive, neutral, or negative tone detected in a model-generated answer.	The calculation applies a RoBERTa-based Hugging Face sentiment model pretrained on Twitter and fine-tuned on 4,423 annotated Stack Overflow posts; output positive, neutral, negative, or corresponding score. Uses generated model answer text outside SEDE.	Positive, neutral, and negative describe the detected tone. Technical correctness is evaluated through model_answer_correctness.	An empty value means the classification is unavailable.	Kabir et al. 2024	A documented model-evaluation protocol and stored model outputs are required before implementation.
C076	model_avoidance	model_avoidance	Model evaluation	Requires model evaluation		Calculated during model evaluation	Model evaluation	Model performance	Stored model-generated answer and the benchmark avoidance rule	category	avoidant / non-avoidant. Empty means the item is awaiting a category assignment.	Whether the model avoided the requested answer by refusing or abstaining from the task.	The assessment classifies a model response as avoidant when it refuses, abstains, or otherwise avoids giving the requested answer under the paper's scoring rules; otherwise classify as non-avoidant. Detailed scoring uses algorithmic conditions and regular expressions in the supplementary material/released code. Uses generated model output outside SEDE.	Avoidant means the model declined the requested task; non-avoidant means it attempted an answer. Technical correctness is evaluated through model_answer_correctness.	An empty value means the classification is unavailable.	Zhou et al. 2024	A documented model-evaluation protocol and stored model outputs are required before implementation.
C077	model_misinformation	model_misinformation	Model evaluation	Requires model evaluation		Calculated during model evaluation	Model evaluation	Model performance	Stored model-generated answer and misinformation assessment evidence	category	present / absent / unclear. Empty means the item is awaiting a category assignment.	Whether a model-generated answer contains information judged to be false or misleading.	model_misinformation = present when the model answer contains a factual, conceptual, code, or terminological error; absent when the evaluation identifies the answer as free of such errors; unclear when the evidence is insufficient for a decision.	Present means at least one judged error could mislead the reader; absent means the evaluation identified the answer as free of such errors; unclear means the evidence was insufficient for a confident classification.	An empty value means the classification is unavailable.	Kabir et al. 2024	A documented model-evaluation protocol and stored model outputs are required before implementation.
C078	comments_before_first_answer	pre_answer_question_comment_count	Question comment	Implemented	comments_before_first_answer	Calculated by project	Later human evidence	Clarification evidence	Question comment and first-answer creation times	integer	comments	The number of available question comments posted before the earliest available answer.	The value equals the number of question comments whose CreationDate precedes first_answer_creation_datetime.	Zero means the first answer arrived before any available question comment. Larger values indicate more question discussion before the first answer.	Empty when no first answer is available; zero when an answer exists and no earlier question comment is available.		Dictionary v5 name mapped to the canonical field comments_before_first_answer: pre_answer_question_comment_count.
C079	processed_question_text	processed_question_text	Question	Literature-derived candidate		Calculated by project	Research candidate	Text	Question title, visible body text, and tags	text	text. Empty means the source or processed text is unavailable.	A cleaned version of the question prepared for text analysis and machine-learning models.	The calculation removes code blocks from question_body_html, parses the remaining HTML, decodes HTML entities, normalizes whitespace, and appends question_title and question_tags_raw before tokenization.	The text is the standardized input for later text measurements and models. Comparisons require the same cleaning, concatenation, and tokenization procedure.	An empty value means the source text is unavailable.	Raida et al. 2024	Scientific selection and a complete calculation specification are required before implementation.
C080	prompting_stability	prompting_stability	Model evaluation	Requires model evaluation		Calculated during model evaluation	Model evaluation	Model performance	Multiple prompt templates and their stored model outputs	numeric	Percentage from 0 to 100. 100 means every evaluated prompt variation preserved the response class; smaller values mean greater sensitivity to prompt wording. Empty means prompt-variation results are unavailable.	How consistently a model gives the same type of outcome when the wording or template of the prompt changes.	prompting_stability = 0.5 * (s_g + s_not_g), scaled from its original 0.5-1 range to 0-100, where s_g is the probability that a response remains in the same group after changing prompt template. Correctness and prudence variants are defined in the paper.	100% means all evaluated prompt variations preserved the response class. Smaller percentages indicate that model behavior changed more often when the prompt wording changed.	An empty value means one or more required inputs are unavailable. A value of 0 is a valid numeric result.	Zhou et al. 2024	A documented model-evaluation protocol and stored model outputs are required before implementation.
C081	question_body_text	question_body_text	Question	Implemented	question_body_text	Calculated by project	Question content at dump snapshot	Text	question_body_html	text	plain visible text	The visible wording of the question body in plain text, including visible code text.	The HTML is parsed, and visible text is joined with normalized spaces.	The value supports reading and text processing. Formatting is flattened into spaces while visible code text remains present.	Empty when the source body is empty.		Produced by the current builder and mapped to the current output field.
C082	question_word_count	question_body_word_count	Question	Implemented	question_word_count	Calculated by project	Question content at dump snapshot	Text characteristic	question_body_html	integer	words	The number of word-like items in the question prose after code blocks and inline code are removed.	Preformatted and code elements are removed before visible-prose extraction and Unicode word-token counting.	Larger values mean longer prose. Question length combines with content and response evidence during difficulty analysis.	Zero when no prose words remain.	SOQDE 2018; Raida et al. 2024	Dictionary v5 name mapped to the canonical field question_word_count: question_body_word_count.
C083	available_question_comment_count	question_comment_count	Question comment	Implemented	available_question_comment_count	Calculated by project	Later human evidence	Interaction outcome	Comments rows with PostId = question_id	integer	available question comments	The number of comment rows directly attached to the question that are available in Comments.xml.	The value equals the number of matching question-comment rows; comments on answers are outside the agreed extraction scope.	Zero means no comment row attached directly to the question is available. Larger values indicate more question-level discussion.	Zero when no question comment row is available.		Dictionary v5 name mapped to the canonical field available_question_comment_count: question_comment_count.
C084	question_popularity_group	question_popularity_group	Question	Literature-derived candidate		Calculated by project	Research candidate	Community reception	Posts.ViewCount	category	Popular / Average Popular / Unpopular. Empty means the item is awaiting a category assignment.	A broad popularity category based on how many times a question was viewed.	The assessment assigns Popular to the highest 10% of question_view_count, Unpopular to the lowest 10%, and Average Popular to the middle group used for sampling.	Popular identifies the top 10% by views, Unpopular the bottom 10%, and Average Popular the middle 80% in the analyzed collection.	An empty value means the classification is unavailable.	Kabir et al. 2024	Scientific selection and a complete calculation specification are required before implementation.
C085	question_recency_group	question_recency_group	Question	Literature-derived candidate		Calculated by project	Research candidate	Temporal category	Posts.CreationDate	category	Old / New. Old means the question was created before the project’s configured threshold date; New means it was created on or after that date. Empty means the creation time or threshold configuration is unavailable.	A broad age category indicating whether the question belongs to the project's older or newer time period.	If question_creation_datetime is earlier than the threshold, assign Old; otherwise assign New.	Old and New describe age relative to the project's configured cutoff date.	An empty value means the classification is unavailable.		Scientific selection and a complete calculation specification are required before implementation.
C086	tag_count	question_tag_count	Tag	Implemented	tag_count	Calculated by project	Question content at dump snapshot	Topic	question_tags	integer	tags	The number of tags attached to the question.	The value equals the number of parsed tag names.	The value is usually between one and the site tag limit. Larger values describe a question assigned to more topics.	Zero when no tag is present.		Dictionary v5 name mapped to the canonical field tag_count: question_tag_count.
C087	question_type_label	question_type_label	Question	Requires manual assessment		Assessed manually	Manual assessment	Question type	Question title, visible body text, and tags	category	Conceptual / How-to / Debugging. Empty means the item is awaiting a category assignment.	A category describing the kind of help requested: an explanation, instructions for doing something, or help fixing a problem.	The cited method classifies the initial question title, body, and tags as Conceptual, How-to, or Debugging with a support-vector machine and then validates the assigned labels manually. The available publication does not provide the fitted model coefficients.	Conceptual requests understanding, How-to requests instructions, and Debugging requests help diagnosing or fixing a problem.	An empty value means the classification is unavailable.	Kabir et al. 2024	A documented assessment protocol and reviewer evidence are required before implementation.
C088	received_response_ratio_from_asker_history	received_response_ratio_from_asker_history	Question author	Literature-derived candidate		Calculated by project	Research candidate	Response outcome	Posts.OwnerUserId, Posts.AnswerCount, Posts.PostTypeId, and Posts.CreationDate across the author's earlier questions	float	Decimal ratio from 0 to 1. For example, 0.25 means 25%. Empty means the required denominator or source history is unavailable.	The proportion of a user's earlier questions that received at least one answer.	AQp = (sum_{t<T} Aq / sum_{t<T} Tq) * 100, where T is the current question submission time, t is a previous question submission time, Aq is the number of previous answered questions, and Tq is the number of previous asked questions. If stored as a 0-1 ratio, divide the percentage by 100.	0 means none of the user's earlier questions received an answer, 1 means all did, and 0.75 means three quarters did.	An empty value means one or more required inputs are unavailable. A value of 0 is a valid numeric result.	Mondal et al. 2021	Scientific selection and a complete calculation specification are required before implementation.
C089	response_class	response_class	Model evaluation	Requires model evaluation		Calculated during model evaluation	Model evaluation	Model performance	Stored model-generated answer and the benchmark response-scoring rule	category	correct / avoidant / incorrect. Empty means the item is awaiting a category assignment.	The benchmark's overall outcome for a model response: correct, avoidant, or incorrect.	response_class = correct if the model answer satisfies the benchmark scoring rule, avoidant if model_avoidance is true, and incorrect otherwise. Detailed scoring uses benchmark-specific algorithmic conditions and regular expressions in the supplementary material/released code.	Correct means the benchmark rule was satisfied; avoidant means the model declined the task; incorrect means the attempted answer failed the rule.	An empty value means the classification is unavailable.	Zhou et al. 2024	A documented model-evaluation protocol and stored model outputs are required before implementation.
C090	text_code_ratio	text_code_ratio	Question	Literature-derived candidate		Calculated by project	Research candidate	Text characteristic	Posts.Body	float	Non-negative ratio of text characters to code characters. 1 means equal lengths, values above 1 mean more text, and values below 1 mean more code. A question with zero code uses the project sentinel described in column H.	The amount of explanatory text in a question compared with the amount of source code.	text_code_ratio = character_count(text_part) / character_count(code_part), where text_part and code_part are extracted from question_body_html. When code_character_count is zero, the paper assigns a large sentinel; its exact numeric value is unspecified.	1 means equal amounts of prose and code, a value above 1 means more prose, and a value below 1 means more code. A zero-code question requires the special handling stated in the formula.	An empty value means the required question text is unavailable. When code length is zero, the documented project sentinel is the result.	Mondal et al. 2021	Scientific selection and a complete calculation specification are required before implementation.
C091	text_readability_average_grade	text_readability_average_grade	Question	Literature-derived candidate		Calculated by project	Research candidate	Text characteristic	Visible question title and body text	float	Decimal grade-level estimate. Larger values indicate text that generally requires a higher reading level. Empty means readable source text is unavailable.	An estimated school-grade reading level for the question's prose.	The calculation removes code elements and stack traces, computes ARI, Coleman-Liau, SMOG, Gunning Fog, and RIX grades, and returns their mean.	A value near 8 suggests roughly eighth-grade reading complexity; larger values indicate more demanding prose. It estimates the language complexity of the prose.	An empty value means one or more required inputs are unavailable. A value of 0 is a valid numeric result.	Mondal et al. 2021	Scientific selection and a complete calculation specification are required before implementation.
C092	tf_idf_textual_representation	tf_idf_textual_representation	Question	Literature-derived candidate		Calculated by project	Research candidate	Text representation	Processed question title, body, and tags across the selected corpus	vector	numeric vector. Each position stores one model feature or weight. Empty means the model representation is awaiting generation.	A numeric representation showing which words are especially important to a question compared with the full question collection.	TF-IDF_i,j = TF_i,j * log(N / df_i), where TF_i,j is term frequency in question j, N is total number of questions, and df_i is the number of questions containing term i. SOQDE 2018 additionally removed <code> snippets, removed NLTK/Stanford stop words, applied Snowball stemming, excluded terms appearing in fewer than three questions, and generated vectors in WEKA.	A larger weight marks a word that is important in this question and relatively uncommon in the collection. The full vector supports comparison or modelling.	An empty value means the representation or required model input is unavailable.	SOQDE 2018; Raida et al. 2024	Scientific selection and a complete calculation specification are required before implementation.
C093	time_to_eventually_accepted_answer_post_hours	time_to_accepted_answer_hours	Accepted answer	Implemented	time_to_eventually_accepted_answer_post_hours	Calculated by project	Later human evidence	Response timing	question_creation_datetime and accepted_answer_creation_datetime	float	hours	The elapsed hours from question posting to the posting of the answer that is currently accepted.	The question creation timestamp is subtracted from the accepted-answer posting timestamp, and the elapsed seconds are divided by 3,600.	Smaller values mean the answer that ultimately became accepted was posted sooner after the question. This value measures answer posting time.	Empty when the accepted-answer row is unavailable or a valid non-negative interval cannot be calculated.	Raida et al. 2024	Dictionary v5 name mapped to the canonical field time_to_eventually_accepted_answer_post_hours: time_to_accepted_answer_hours.
C094	topic_entropy	topic_entropy	Question	Literature-derived candidate		Calculated by project	Research candidate	Text characteristic	Posts.Tags	float	Non-negative decimal entropy value. Larger values indicate greater diversity or unpredictability under the stated method. Empty means the required text or corpus statistics are unavailable.	A measure of how varied or surprising a question's tags are relative to tag patterns in the full collection.	topic_entropy = -(1/n) * sum_k(P_k * log(P_k)), where n = number of tags/topics on the question and P_k = probability of topic k.	Larger values indicate a more diverse or less predictable tag combination. Valid comparisons use the same corpus and probability estimates.	An empty value means one or more required inputs are unavailable. A value of 0 is a valid numeric result.	Mondal et al. 2021	Scientific selection and a complete calculation specification are required before implementation.
C095	topic_response_ratio	topic_response_ratio	Question	Literature-derived candidate		Calculated by project	Research candidate	Topic	Posts.Tags, Posts.AnswerCount, Posts.Id, and Posts.CreationDate across earlier questions	float	Decimal ratio from 0 to 1. For example, 0.25 means 25%. Empty means the required denominator or source history is unavailable.	The average historical answer rate of the topics represented by a question's tags.	topic_response_ratio = (1/N) * sum_i Rt_i, where Rt = AQ / TQ for each tag/topic, AQ = answered questions for that tag, TQ = total questions for that tag, and N = number of tags on the question.	A value of 0.8 means the question's tags have an average historical answer rate of 80%. Larger values indicate topics that more often receive answers.	An empty value means one or more required inputs are unavailable. A value of 0 is a valid numeric result.	Mondal et al. 2021	Scientific selection and a complete calculation specification are required before implementation.
C096	transform_input_output_word_count	transform_input_output_word_count	Benchmark instance	Literature-derived candidate		Calculated by project	Research candidate	Difficulty evidence	External text-transformation benchmark input and expected output	int	Non-negative integer count. 0 means that the counted quantity is absent. Empty means the source needed for counting is unavailable.	The combined number of words in the input and expected output of a text-transformation benchmark task.	transform_input_output_word_count equals the number of words in the transform benchmark input and output used for the fw+l difficulty proxy. The value comes from the external benchmark dataset.	Zero means no words in the benchmark input and output; larger values indicate more words in the benchmark input and output.	An empty value means the source needed to produce the count is unavailable. A value of 0 is a valid observed count.	Zhou et al. 2024	Scientific selection and a complete calculation specification are required before implementation.
C097	transform_levenshtein_distance	transform_levenshtein_distance	Benchmark instance	Literature-derived candidate		Calculated by project	Research candidate	Difficulty evidence	External text-transformation benchmark input and expected output	int	Non-negative integer edit distance. 0 means identical input and output strings; larger values mean more single-character insertions, deletions, or substitutions. Empty means either string is unavailable.	The minimum number of single-character insertions, deletions, or substitutions needed to change a benchmark input into its expected output.	transform_levenshtein_distance equals the Levenshtein edit distance between the transform benchmark input string and output string, used with input/output word counts in the fw+l difficulty proxy. The value comes from the external benchmark dataset.	Zero means the benchmark input already equals the expected output. Larger values mean more character-level edits are required for the transformation.	An empty value means the required source information is unavailable.	Zhou et al. 2024	Scientific selection and a complete calculation specification are required before implementation.
C098	up_vote_count	up_vote_count	Vote	Literature-derived candidate		Calculated by project	Research candidate	Count	Votes.VoteTypeId and Votes.PostId, with the documented up-vote type	int	Non-negative integer count. 0 means that the counted quantity is absent. Empty means the source needed for counting is unavailable.	The number of up-votes recorded for the question.	up_vote_count = count(vote_id where vote_post_id = question_id and vote_type_name identifies the up-vote type).	Zero means no up-votes on the question; larger values indicate more up-votes on the question.	An empty value means the source needed to produce the count is unavailable. A value of 0 is a valid observed count.	Raida et al. 2024	Scientific selection and a complete calculation specification are required before implementation.
C099	url_image_count	url_image_count	Post	Literature-derived candidate		Calculated by project	Research candidate	Count	Posts.Body	int	Non-negative integer count. 0 means that the counted quantity is absent. Empty means the source needed for counting is unavailable.	The total number of hyperlinks and embedded images included in the question.	The calculation counts hyperlink and image elements in question_body_html and returns their combined total.	Zero means no links and images in the question; larger values indicate more links and images in the question.	An empty value means the source needed to produce the count is unavailable. A value of 0 is a valid observed count.	Raida et al. 2024	Scientific selection and a complete calculation specification are required before implementation.
C100	user_bronze_badge_count	user_bronze_badge_count	User	Requires additional dump file		Calculated by project	Additional source record	Count	Badges.UserId and Badges.Class	int	Non-negative integer count. 0 means that the counted quantity is absent. Empty means the source needed for counting is unavailable.	The number of bronze badges earned by the user.	user_bronze_badge_count = count(badge_id where badge_user_id = user_id and badge_class identifies the bronze badge class).	Zero means no bronze badges held by the user; larger values indicate more bronze badges held by the user.	An empty value means the source needed to produce the count is unavailable. A value of 0 is a valid observed count.	Raida et al. 2024	The required additional dump table is outside the current production inputs.
C101	user_gold_badge_count	user_gold_badge_count	User	Requires additional dump file		Calculated by project	Additional source record	Count	Badges.UserId and Badges.Class	int	Non-negative integer count. 0 means that the counted quantity is absent. Empty means the source needed for counting is unavailable.	The number of gold badges earned by the user.	user_gold_badge_count = count(badge_id where badge_user_id = user_id and badge_class identifies the gold badge class).	Zero means no gold badges held by the user; larger values indicate more gold badges held by the user.	An empty value means the source needed to produce the count is unavailable. A value of 0 is a valid observed count.	Raida et al. 2024	The required additional dump table is outside the current production inputs.
C102	user_preference_for_model_answer	user_preference_for_model_answer	Model evaluation	Requires model evaluation		Calculated during model evaluation	Model evaluation	Model performance	Recorded participant comparisons of model-generated and Stack Exchange answers	category / percentage	prefer model / prefer Stack Exchange / tie. Empty means the item is awaiting a category assignment.	Which answer participants preferred when comparing a model-generated answer with a Stack Exchange answer to the same question.	Participants assess model and human answers with the same survey questions, select a preferred answer, and produce model, Stack Exchange, or tie categories.	Prefer model and prefer Stack Exchange identify the favored answer source; tie means neither source won the comparison.	An empty value means the classification is unavailable.	Kabir et al. 2024	A documented model-evaluation protocol and stored model outputs are required before implementation.
C103	user_silver_badge_count	user_silver_badge_count	User	Requires additional dump file		Calculated by project	Additional source record	Count	Badges.UserId and Badges.Class	int	Non-negative integer count. 0 means that the counted quantity is absent. Empty means the source needed for counting is unavailable.	The number of silver badges earned by the user.	user_silver_badge_count = count(badge_id where badge_user_id = user_id and badge_class identifies the silver badge class).	Zero means no silver badges held by the user; larger values indicate more silver badges held by the user.	An empty value means the source needed to produce the count is unavailable. A value of 0 is a valid observed count.	Raida et al. 2024	The required additional dump table is outside the current production inputs.
C104	answer_score	answer_score	Answer	Available in current source		Calculated by Stack Exchange	Source dump record	Community reception	Posts.Score	int	Integer score or score difference. Positive, zero, and negative values retain their Stack Exchange score meaning. Empty means the score is unavailable.	The score that an answer received from the Stack Exchange community through up-votes and down-votes.	Stack Exchange calculates and maintains the value in Posts.Score; the catalogue records the maintained source value.	A positive score means more up-votes than down-votes, 0 means no net difference, and a negative score means more down-votes. For example, 5 means five more up-votes than down-votes.	An empty value means the score is unavailable. A value of 0 is a valid recorded score.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
C105	badge_class	badge_class	Badge	Requires additional dump file		Calculated by Stack Exchange	Additional source record	Badge category	Badges.Class	tinyint	1 = Gold; 2 = Silver; 3 = Bronze. Empty means the badge class is unavailable.	The award level of a badge: gold, silver, or bronze.	Stack Exchange calculates and maintains the value in Badges.Class; the catalogue records the maintained source value.	1 means Gold, 2 means Silver, and 3 means Bronze. These numbers identify badge levels.	An empty value means the required source information is unavailable.		The required additional dump table is outside the current production inputs.
C106	badge_tag_based	badge_tag_based	Badge	Requires additional dump file		Calculated by Stack Exchange	Additional source record	Topic	Badges.TagBased	bit	TRUE or FALSE. TRUE means the condition is present; FALSE means it is absent. Empty means the source value is unavailable.	Whether the badge was earned for activity associated with a particular topic tag.	Stack Exchange calculates and maintains the value in Badges.TagBased; the catalogue records the maintained source value.	TRUE means the condition is present and FALSE means it is absent; FALSE is a valid recorded result.	An empty value means the source is unavailable. FALSE is a valid recorded result.		The required additional dump table is outside the current production inputs.
